timestamp,ground_truth,sensor_temp,sensor_baseline,sensor_humidity,sensor_aux
0,26.2,26.3738,26.8297,25.8624,26.3354
1,26.2379,26.2245,26.654,26.1657,25.8628
2,26.2739,26.5706,26.3008,25.8777,26.3606
3,26.308,26.9461,26.0169,26.154,25.8977
4,26.3402,26.3982,26.6544,25.3934,26.7805
5,26.3704,26.4635,26.5475,26.4771,26.795
6,26.3988,27.1615,26.8016,26.3994,26.6116
7,26.4252,26.9388,26.711,26.0167,26.5699
8,26.4498,26.5655,26.9221,26.7794,27.1543
9,26.4725,26.9774,26.2316,26.9413,26.4724
10,26.4934,26.6812,27.0862,25.6896,26.0206
11,26.5124,26.7344,26.6013,26.1311,26.6922
12,26.5297,27.0344,27.4635,26.1451,27.3641
13,26.5452,26.3305,26.235,26.0752,26.1393
14,26.559,26.4452,27.3401,26.9737,26.4144
15,26.571,26.8992,26.6601,26.4741,26.7376
16,26.5815,26.787,26.2883,26.4492,26.5599
17,26.5903,27.2953,26.3725,25.5883,26.1974
18,26.5975,26.9097,26.4534,26.9152,27.0463
19,26.6032,26.7739,26.7941,25.9836,27.5312
20,26.6074,27.8204,26.8427,26.6374,26.6859
21,26.6102,27.2662,26.3521,26.7489,26.2486
22,26.6116,27.4053,26.6007,27.292,25.9921
23,26.6117,26.9181,27.5757,25.9573,26.7149
24,26.6105,27.26,27.3879,25.1008,27.0521
25,26.6081,27.522,26.8045,26.7001,26.7982
26,26.6046,27.1117,26.6217,27.5048,26.6036
27,26.5999,27.6764,26.6539,27.2194,26.3642
28,26.5942,27.364,26.8703,26.6991,26.1574
29,26.5876,27.5005,26.1273,26.3418,26.9215
30,26.58,27.4194,26.4642,26.9836,26.9455
31,26.5716,28.3049,25.8208,26.0848,25.9533
32,26.5624,27.6777,26.7421,26.8006,27.1984
33,26.5526,27.3374,26.8438,26.8053,26.7822
34,26.5421,28.02,26.3246,27.0722,27.1019
35,26.531,27.3287,27.2393,27.9109,25.9942
36,26.5195,27.8526,25.9679,26.7157,25.9731
37,26.5075,27.1166,25.8485,26.253,26.4479
38,26.4952,27.3603,26.5962,26.4824,26.6963
39,26.4826,27.9165,26.9538,25.5981,27.2011
40,26.4698,28.1283,27.2276,26.1225,26.7522
41,26.4569,27.9519,26.2504,26.2522,26.3598
42,26.4439,27.8734,26.9293,26.1819,26.0334
43,26.4309,27.8306,26.4136,26.5071,26.9229
44,26.4181,27.4406,26.3404,26.0069,26.0322
45,26.4053,27.7284,26.803,26.9659,27.0567
46,26.3929,27.8416,26.6864,26.393,26.2791
47,26.3807,28.3957,25.6713,26.376,27.0169
48,26.3688,28.1691,27.0333,26.2049,26.6404
49,26.3575,27.4554,26.9785,26.4351,26.3027
50,26.3466,28.21,26.0651,26.7591,26.1388
51,26.3363,27.9865,26.5144,25.9027,26.1999
52,26.3266,27.9097,26.5489,25.9975,26.4979
53,26.3176,28.3867,26.4349,26.1658,26.3485
54,26.3094,28.5603,26.0618,25.6365,26.0719
55,26.302,28.553,25.9998,25.8924,26.2358
56,26.2955,27.9618,26.284,26.0574,26.3269
57,26.2899,28.1767,26.8177,26.7271,25.4385
58,26.2854,28.4313,26.53,26.4167,26.4686
59,26.2818,28.6883,26.1151,26.3786,25.89
60,26.2794,28.2117,26.6267,26.7049,25.8181
61,26.2781,28.3482,24.9963,26.2095,25.6032
62,26.2781,28.0608,26.795,26.4733,25.5605
63,26.2792,28.0655,25.4963,26.2276,25.737
64,26.2817,28.806,26.1186,26.4143,25.9981
65,26.2854,29.0351,25.7816,25.994,27.0667
66,26.2905,28.5753,25.7079,25.0711,26.0802
67,26.2971,28.9933,26.8194,26.2299,26.3682
68,26.305,28.8116,26.0945,27.0164,26.4652
69,26.3144,28.5036,26.4703,26.7775,26.3668
70,26.3253,28.9018,26.3042,26.808,26.2943
71,26.3377,29.361,26.5523,26.9557,25.8595
72,26.3516,28.859,26.3861,26.3959,26.9319
73,26.367,29.4697,25.7897,26.4657,27.0899
74,26.384,28.0571,26.8324,26.0752,25.711
75,26.4026,29.3153,26.1804,26.2446,25.993
76,26.4228,29.1133,25.7223,26.7307,26.3109
77,26.4445,29.0349,26.2519,27.0465,26.0587
78,26.4679,29.23,27.1432,26.3982,26.6703
79,26.4928,28.5622,26.8754,26.2677,26.2015
80,26.5193,29.2425,26.3625,26.5196,27.3854
81,26.5474,29.5074,26.3903,26.8481,27.0237
82,26.5771,29.9644,26.4324,25.8552,26.6622
83,26.6084,29.332,27.5429,25.4603,27.0192
84,26.6411,29.2982,26.813,26.3659,27.0835
85,26.6754,29.4748,26.869,26.0651,26.4499
86,26.7113,30.0416,27.1749,26.4572,26.3848
87,26.7485,29.9086,26.856,26.6747,26.7798
88,26.7873,29.6819,26.6707,26.5607,27.132
89,26.8275,30.1221,26.7391,27.5537,26.8831
90,26.869,30.053,26.8368,27.0324,26.2382
91,26.912,30.436,26.8952,27.0622,26.5908
92,26.9562,29.9305,27.2836,27.2673,26.9266
93,27.0017,30.1421,27.0251,26.4323,26.9715
94,27.0485,30.2013,27.3782,27.5681,27.8375
95,27.0964,29.9092,27.0601,27.0586,26.5421
96,27.1455,30.6092,27.1809,27.4808,27.3478
97,27.1957,30.6821,26.2965,26.6598,27.7914
98,27.247,30.6787,27.6593,26.4701,28.1555
99,27.2992,30.6821,27.4551,27.7081,27.1374
100,27.3523,30.3569,27.8014,27.5405,27.5489
101,27.4063,30.7941,26.103,26.9553,27.6342
102,27.4611,30.9112,28.4009,27.0263,27.5393
103,27.5167,30.8409,27.4539,28.0794,27.4771
104,27.5729,31.1565,28.0716,26.9782,27.7473
105,27.6297,31.4462,27.1618,28.4511,26.6168
106,27.6871,32.0573,27.9629,27.2368,27.96
107,27.745,31.5511,27.271,28.0642,27.7955
108,27.8033,31.6734,27.5226,27.639,27.7143
109,27.8619,31.6508,28.7232,28.1635,28.6806
110,27.9207,31.0991,27.8349,27.6487,27.6507
111,27.9798,31.8555,28.0776,27.8984,27.8185
112,28.0389,31.98,28.4304,28.0594,28.8355
113,28.0981,32.9152,28.3211,27.597,27.7653
114,28.1572,32.0799,28.2249,28.5276,27.9372
115,28.2162,32.3468,28.3805,27.9596,28.1574
116,28.2751,32.3229,29.3566,28.1608,28.6113
117,28.3336,32.0196,28.3077,27.8364,28.4167
118,28.3918,32.9218,28.4823,27.1106,27.8747
119,28.4495,32.8777,28.9223,28.354,28.2367
120,28.5068,32.9836,29.0043,29.7131,28.2638
121,28.5634,32.4802,29.0976,28.9557,28.5326
122,28.6194,33.3804,28.9069,28.6098,28.7898
123,28.6747,32.489,28.1603,28.5432,28.842
124,28.7291,33.2745,29.4642,28.7403,28.0187
125,28.7826,33.9243,28.2668,29.0562,29.2082
126,28.8352,32.8985,28.9714,28.2448,28.9362
127,28.8867,33.1335,28.5473,29.4439,29.4405
128,28.9371,33.452,28.9083,29.2948,29.1148
129,28.9864,33.3251,29.1343,29.3455,29.4269
130,29.0343,33.0416,29.1789,29.2536,29.2209
131,29.0809,33.6899,29.2708,29.0908,29.6194
132,29.1262,33.3744,29.8524,29.4626,29.3351
133,29.17,33.9907,29.374,29.4659,29.1308
134,29.2122,33.5804,29.1023,29.0352,30.1212
135,29.2529,34.5203,29.6867,28.9661,29.6085
136,29.2919,33.7777,29.8271,29.3428,29.5214
137,29.3292,34.0115,28.7768,30.1037,28.8187
138,29.3647,34.4794,29.6335,28.7452,28.8494
139,29.3984,33.8326,29.714,28.6647,29.5155
140,29.4303,34.4099,29.2964,29.5127,29.4885
141,29.4602,34.8527,30.0793,29.4856,29.2145
142,29.4882,33.8955,29.4206,29.5748,29.5445
143,29.5141,34.5837,29.5706,29.6361,30.1495
144,29.538,34.6689,29.4601,29.4264,29.8161
145,29.5598,34.9084,29.5668,30.3047,29.1034
146,29.5794,34.2565,29.0861,28.779,29.5348
147,29.5969,34.2798,28.9489,29.1827,29.275
148,29.6122,34.9749,30.3298,29.5606,29.4572
149,29.6253,34.9443,29.2442,28.8037,29.4599
150,29.6361,34.9738,29.19,29.5482,29.4451
151,29.6447,35.0509,28.6757,30.4754,29.1426
152,29.6509,34.7329,29.3634,29.6614,29.5999
153,29.6549,35.0912,29.0595,29.7702,29.4306
154,29.6565,35.1491,30.3954,29.0264,28.4847
155,29.6558,34.8308,30.1102,29.3476,30.477
156,29.6528,35.7658,29.3431,29.4652,30.0883
157,29.6474,35.3082,30.661,29.4885,29.4968
158,29.6396,34.7527,30.0814,30.2804,29.6471
159,29.6295,35.4243,29.4834,29.9084,29.1609
160,29.6171,34.876,28.4924,29.0614,30.2954
161,29.6024,35.5128,30.6333,29.7256,30.3613
162,29.5853,35.6608,28.96,29.8344,29.648
163,29.5659,34.9837,28.8255,30.136,29.9753
164,29.5443,35.6215,30.0044,30.3345,29.6144
165,29.5204,35.4398,30.6182,29.0128,28.9857
166,29.4942,35.5919,30.1171,29.0888,29.3295
167,29.4658,35.9747,29.7196,28.837,29.5186
168,29.4352,35.2294,29.7029,29.3182,29.2534
169,29.4025,35.0537,29.7866,29.6357,29.3151
170,29.3677,35.0064,29.7092,29.8614,29.3311
171,29.3308,35.0302,29.4573,29.2928,29.2984
172,29.2918,35.2848,29.3387,29.1319,29.3127
173,29.2509,35.4253,29.2227,29.3268,28.8266
174,29.208,35.3948,28.8687,28.7904,28.9212
175,29.1632,35.5777,29.0369,30.208,28.6494
176,29.1165,35.2811,28.3547,28.3127,29.5077
177,29.0681,35.7718,29.0238,29.1605,28.2258
178,29.0179,35.1553,28.5731,30.0297,29.4794
179,28.9661,36.1831,28.4694,28.9695,29.5206
180,28.9126,35.4315,28.9935,28.8175,28.7917
181,28.8575,34.8925,29.4839,28.6788,27.8163
182,28.801,34.7962,29.2142,28.7108,28.6564
183,28.743,35.3169,28.0363,29.4294,28.7173
184,28.6836,35.0454,28.2383,27.5777,28.2794
185,28.623,35.3479,29.0464,29.3897,28.4169
186,28.5612,35.2368,28.119,27.8492,29.1732
187,28.4981,35.0176,28.3971,28.3648,28.7641
188,28.434,34.7177,28.6816,28.2194,28.0642
189,28.369,34.4538,27.9332,28.6632,27.7299
190,28.3029,34.7966,28.3503,27.5039,28.1721
191,28.236,35.2208,27.6357,28.4671,28.1507
192,28.1684,34.9633,27.8978,29.1805,28.3669
193,28.1,34.419,28.2439,27.4185,27.8859
194,28.0311,34.8817,27.3142,28.1259,28.2357
195,27.9616,34.9214,28.1598,27.6306,28.7356
196,27.8916,34.4422,27.8827,28.1045,28.2178
197,27.8212,34.77,28.0699,27.8308,27.802
198,27.7506,34.7009,27.8513,27.4298,27.6773
199,27.6797,34.2447,28.2936,27.9236,27.537
200,27.6087,34.7339,27.665,28.5108,28.0809
201,27.5376,34.7689,27.3444,27.4421,27.2867
202,27.4665,34.9156,27.5215,27.8264,27.4846
203,27.3955,34.8694,27.64,26.7489,27.416
204,27.3247,33.9825,27.3467,26.8465,27.124
205,27.2542,34.1009,27.2724,27.4904,26.7052
206,27.1839,34.5742,26.868,27.926,27.3131
207,27.1141,34.5389,26.8158,27.2919,27.0897
208,27.0447,34.505,26.4135,26.8882,27.2448
209,26.9759,35.6393,27.7632,26.9755,26.7624
210,26.9077,34.4575,26.3479,26.2825,27.396
211,26.8401,34.6226,26.5283,27.1424,26.4894
212,26.7733,34.5272,26.4501,27.2145,27.4582
213,26.7074,34.3904,27.1101,26.4813,26.0083
214,26.6423,34.022,26.5096,26.4073,26.8162
215,26.5782,34.3688,27.1397,26.7111,26.7684
216,26.5151,33.8046,26.212,26.2967,26.1968
217,26.453,33.9651,26.5786,26.4199,26.6228
218,26.3921,33.8522,26.0162,27.4419,26.9039
219,26.3323,34.026,27.2976,26.2088,25.4456
220,26.2738,34.7839,25.7394,26.0946,26.4749
221,26.2166,33.298,26.356,25.8928,25.2193
